"strain","Pro_mCh","Promoter","mCherry","UTR3","Terminator","Length","target_id","BioRep","ExpRep","median_deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep3","1",0.533333333333333,0.690956439983888,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep4","2",0.386666666666667,0.764894846761996,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep5","2",0.663333333333334,0.63141772559582,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep6","2",0.295,0.815072332402625,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep1","1",2.55166666666667,0.170557882046121,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep2","1",2.87,0.136786712657593,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep3","1",2.78333333333333,0.14525569836973,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep4","2",3.28666666666667,0.102474249798784,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep5","2",3.05333333333333,0.120463389798944,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep6","2",3.045,0.121161227116883,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep1","1",-0.388333333333334,1.30888045211964,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep2","1",0.0299999999999994,0.979420297586927,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep3","1",-0.0266666666666655,1.01865580995729,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep4","2",-0.163333333333334,1.11987160404676,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep5","2",0.0533333333333328,0.963707118391552,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep6","2",-0.335000000000001,1.26137740883125,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep1","1",4.93,0.0328036463632209,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep2","1",4.945,0.032464346978052,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep3","1",5.01166666666667,0.0309983091384275,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep4","2",4.98333333333333,0.0316131075094351,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep5","2",3.805,0.0715452600374178,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","mCh-7","BioRep6","2",5.37833333333333,0.0240414324228873,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep1","1",-0.27,1.20580782769076,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep2","1",-0.395,1.31494276020507,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep3","1",-0.648333333333333,1.56735646830526,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep4","2",-0.726666666666667,1.65481124540003,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep5","2",-0.485000000000001,1.3995858655952,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","PGK1-ORF","BioRep6","2",-0.491666666666667,1.40606829162235,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep1","1",0.27,0.829319545814442,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep2","1",0.475,0.71946679000541,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep3","1",0.401666666666666,0.756983276555699,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep4","2",0.153333333333332,0.899170535638186,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep5","2",0.594999999999999,0.662044455197699,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","RPS3-ORF","BioRep6","2",0.508333333333333,0.703034145811175,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep1","1",2.78,0.145591698308557,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep2","1",2.915,0.132585967671027,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep3","1",3.07166666666667,0.118942262864984,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep4","2",2.49333333333333,0.177595467391122,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep5","2",3.025,0.122852574818156,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep6","2",2.70833333333333,0.153006692913082,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep1","1",0.779999999999999,0.582366793234228,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep2","1",0.785,0.58035195719186,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep3","1",0.981666666666666,0.506394392108073,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep4","2",-0.396666666666667,1.31646271944363,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep5","2",-0.455,1.3707828049797,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep6","2",0.698333333333332,0.616283754498608,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep1","1",4.16333333333333,0.0558099694412739,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep2","1",3.98333333333333,0.0632262150188702,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep3","1",4.19166666666667,0.0547246007128678,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep4","2",3.515,0.0874741165996997,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep5","2",4.50833333333333,0.0439396341131984,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep6","2",3.995,0.062716984281844,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep1","1",-0.436666666666667,1.35347352413725,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep2","1",-0.476666666666667,1.39152484417842,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep3","1",-0.288333333333332,1.22122864380524,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep4","2",-0.504999999999999,1.41912335620038,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep5","2",-0.491666666666667,1.40606829162235,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep6","2",-0.425000000000001,1.34257250278026,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep1","1",0.453333333333333,0.730353422305036,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep2","1",0.453333333333333,0.730353422305036,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep3","1",0.291666666666668,0.816957726620549,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep4","2",0.535,0.690158676698315,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep5","2",0.358333333333333,0.780065226013374,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep6","2",0.625,0.648419777325505,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep1","1",3.04333333333333,0.121301278936693,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep2","1",2.68333333333333,0.155681202794853,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep3","1",2.98166666666667,0.126598598027018,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep4","2",3.475,0.0899333487506762,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep5","2",3.40833333333333,0.094186667592161,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep6","2",2.945,0.129857387912208,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep1","1",0.503333333333334,0.705474903559024,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep2","1",0.523333333333333,0.695762422089208,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep3","1",0.381666666666668,0.767550369306168,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep4","2",-0.514999999999999,1.42899413974109,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep5","2",0.298333333333334,0.813191289341732,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep6","2",0.565,0.675955416514063,FALSE,FALSE
